trial_number,value,best_iteration,bagging_freq,bagging_fraction,num_leaves,min_data_in_leaf,feature_fraction,reg_alpha,reg_lambda,max_depth,scale_pos_weight
0,0.5237151352025348,527,1,0.85,31,100,0.9,0.0,1.0,12,27.0
1,0.5224617426576897,197,0,1.0,63,100,0.5,0.1,1.0,12,27.0
2,0.5151197892383468,444,1,0.85,31,500,0.7,0.1,1.0,12,27.0
3,0.5422587072327408,1274,0,1.0,63,20,0.7,0.1,1.0,-1,27.0
4,0.5189856251406735,238,0,1.0,63,500,0.7,0.0,1.0,12,27.0
5,0.547479602327732,1186,0,1.0,127,100,0.7,0.1,0.1,12,27.0
6,0.5151051450760294,152,1,0.85,31,500,0.9,0.1,0.1,12,27.0
7,0.5169996629969869,315,1,0.7,31,100,0.7,0.0,0.0,-1,27.0
8,0.5351307917397726,428,0,1.0,63,500,0.7,1.0,0.0,-1,27.0
9,0.5265442947542652,223,0,1.0,31,500,0.5,1.0,0.0,-1,27.0
10,0.5386450567713352,2088,1,0.7,127,20,0.5,0.1,0.1,8,27.0
11,0.5387007559329859,1508,0,1.0,127,20,0.7,0.1,0.1,8,27.0
12,0.549552932211189,778,0,1.0,127,20,0.7,0.1,0.1,-1,27.0
13,0.549552932211189,778,0,1.0,127,20,0.7,0.1,0.1,-1,27.0
14,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
15,0.5377685589465411,778,1,0.7,127,20,0.9,1.0,0.1,-1,27.0
16,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
17,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
18,0.5385078060524887,1830,1,0.7,127,20,0.9,0.0,0.1,8,27.0
19,0.5396792641917831,476,1,0.85,127,20,0.9,1.0,0.1,-1,27.0
20,0.5493763749534054,641,0,1.0,127,20,0.9,0.1,0.0,-1,27.0
21,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
22,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
23,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
24,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
25,0.5015045765935099,315,0,1.0,127,20,0.9,0.1,0.1,8,27.0
26,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
27,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
28,0.5398893769175234,346,1,0.7,127,100,0.5,1.0,0.0,-1,27.0
29,0.5131994632429646,207,1,0.85,63,20,0.9,0.0,0.1,8,27.0
30,0.521865947133336,407,1,0.85,31,100,0.9,0.0,1.0,-1,27.0
31,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
32,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
33,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
34,0.5465557555233848,1020,0,1.0,127,20,0.9,0.1,1.0,-1,27.0
35,0.5448011989855914,1527,0,1.0,63,20,0.5,0.1,0.1,12,27.0
36,0.5424793955668992,980,0,1.0,127,500,0.9,0.1,1.0,-1,27.0
37,0.5276539370956894,235,0,1.0,63,100,0.9,0.1,0.1,12,27.0
38,0.5107974219957186,158,1,0.85,31,20,0.9,0.1,0.1,-1,27.0
39,0.5257933365916656,185,0,1.0,127,500,0.9,0.0,1.0,12,27.0
40,0.5142507097677285,428,0,1.0,31,100,0.5,0.1,0.1,-1,27.0
41,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
42,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
43,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
44,0.5493763749534054,641,0,1.0,127,20,0.9,0.1,0.0,-1,27.0
45,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
46,0.5177065816050247,458,1,0.7,63,500,0.9,1.0,0.1,-1,27.0
47,0.5460378588130029,984,0,1.0,127,20,0.7,0.1,0.1,12,27.0
48,0.5512089121606961,775,0,1.0,127,20,0.5,0.1,0.1,-1,27.0
49,0.5182584766542747,197,1,0.85,31,20,0.9,0.1,0.0,8,27.0
50,0.5419870616591832,1045,1,0.7,127,20,0.9,0.0,0.1,-1,27.0
51,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
52,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
53,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
54,0.549552932211189,778,0,1.0,127,20,0.7,0.1,0.1,-1,27.0
55,0.5468845106174778,472,0,1.0,127,20,0.9,1.0,0.1,-1,27.0
56,0.5248606901770284,231,0,1.0,127,500,0.9,0.1,0.1,8,27.0
57,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
58,0.5499498549451649,651,0,1.0,127,100,0.9,0.1,1.0,-1,27.0
59,0.534448284099587,997,1,0.7,63,20,0.7,0.1,0.0,-1,27.0
60,0.5468845106174778,472,0,1.0,127,20,0.9,1.0,0.1,-1,27.0
61,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
62,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
63,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
64,0.552283486009151,632,0,1.0,127,20,0.9,0.1,0.1,-1,27.0
65,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
66,0.5432401840299631,2637,1,0.85,127,20,0.5,0.0,0.1,8,27.0
67,0.5403268270483442,2611,1,0.85,31,20,0.5,0.1,0.1,12,27.0
68,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
69,0.5515103833034587,665,1,0.85,127,100,0.5,0.1,0.1,-1,27.0
70,0.5479895427884327,1030,1,0.85,127,20,0.5,0.1,1.0,-1,27.0
71,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
72,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
73,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
74,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
75,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
76,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
77,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
78,0.5357069009052112,738,1,0.85,127,500,0.5,0.1,0.1,-1,27.0
79,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
80,0.547884849052373,1472,1,0.85,63,20,0.5,0.1,0.1,-1,27.0
81,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
82,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
83,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
84,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
85,0.5486923960254889,753,1,0.85,127,20,0.5,0.1,0.0,-1,27.0
86,0.5453643053055125,599,1,0.85,127,20,0.5,1.0,0.1,12,27.0
87,0.5183657481020822,159,1,0.85,31,20,0.5,0.0,0.1,-1,27.0
88,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
89,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
90,0.5253636806265118,245,1,0.85,127,100,0.5,0.1,0.1,8,27.0
91,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
92,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
93,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
94,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
95,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
96,0.5375185564380501,760,1,0.85,127,500,0.5,0.1,1.0,-1,27.0
97,0.5527726461936123,747,1,0.85,127,20,0.5,0.1,0.1,-1,27.0
98,0.547884849052373,1472,1,0.85,63,20,0.5,0.1,0.1,-1,27.0
99,0.5486923960254889,753,1,0.85,127,20,0.5,0.1,0.0,-1,27.0
